No_of_authors,study_size,year,Journal_type
1,local,1970,Ecology
1,local,1970,Ecology
1,country,1970,Ecology
1,local,1970,Ecology
2,local,1970,Ecology
2,regional,1971,Ecology
1,local,1971,Ecology
3,local,1971,Ecology
1,local,1971,Ecology
1,local,1971,Ecology
2,local,1972,Ecology
1,local,1972,Ecology
3,country,1972,Ecology
1,regional,1972,Ecology
2,local,1972,Ecology
1,regional,1973,Ecology
1,local,1973,Ecology
2,local,1973,Ecology
4,local,1973,Ecology
1,local,1973,Ecology
2,regional,1974,Ecology
1,local,1974,Ecology
1,local,1974,Ecology
2,local,1974,Ecology
2,local,1974,Ecology
1,regional,1975,Ecology
2,local,1975,Ecology
2,local,1975,Ecology
2,local,1975,Ecology
2,local,1975,Ecology
1,local,1976,Ecology
3,local,1976,Ecology
1,local,1976,Ecology
1,regional,1976,Ecology
1,local,1976,Ecology
1,local,1977,Ecology
1,regional,1977,Ecology
1,local,1977,Ecology
2,local,1977,Ecology
2,local,1977,Ecology
2,local,1978,Ecology
1,regional,1978,Ecology
2,regional,1978,Ecology
2,regional,1978,Ecology
1,local,1978,Ecology
1,regional,1979,Ecology
1,local,1979,Ecology
1,local,1979,Ecology
4,local,1979,Ecology
2,regional,1979,Ecology
